ip,status,hostname,mac,vendor,latency_ms,ttl,os_hint,open_ports,scanned_at
10.80.80.77,alive,,00:0c:29:4c:53:85,,8.0,64,Linux / macOS,22,2026-04-09T17:33:31.148276
10.80.80.87,alive,,d0:93:95:b1:35:ec,,1.0,64,Linux / macOS,"22, 53, 80, 443",2026-04-09T17:33:31.186353
10.80.80.88,alive,,48:5e:0e:de:47:49,,1.0,64,Linux / macOS,"53, 80",2026-04-09T17:33:31.188199
10.80.80.100,alive,,74:34:91:00:3e:b1,,1.0,64,Linux / macOS,22,2026-04-09T17:33:31.234169
10.80.80.97,alive,,d0:93:95:b1:35:f4,,1.0,64,Linux / macOS,"22, 53, 80, 443",2026-04-09T17:33:31.229795
10.80.80.93,alive,,d0:93:95:b5:16:d8,,2.0,64,Linux / macOS,"22, 53, 80, 443",2026-04-09T17:33:31.192893
10.80.80.94,alive,,bc:24:11:82:9c:3e,,2.0,128,Windows,,2026-04-09T17:33:31.202983
10.80.80.83,alive,,00:0c:29:23:42:49,,1.0,64,Linux / macOS,"22, 25, 80, 110, 143, 993, 995",2026-04-09T17:33:31.182807
10.80.80.61,alive,,1e:ec:b7:c2:55:54,,125.0,64,Linux / macOS,,2026-04-09T17:33:31.111690
10.80.80.98,alive,,00:e0:24:c8:c0:1c,,1.0,64,Linux / macOS,"22, 3389",2026-04-09T17:33:31.231541
10.80.80.96,alive,,00:0c:29:ca:af:d9,,1.0,64,Linux / macOS,,2026-04-09T17:33:31.229034
10.80.80.73,alive,,ce:3d:a0:53:f8:4b,,218.0,1,Windows (old),,2026-04-09T17:33:31.143613
10.80.80.34,alive,,e2:2a:18:63:ca:35,,428.0,64,Linux / macOS,,2026-04-09T17:33:31.035849
10.80.80.178,alive,DESKTOP-NMBB0UG,fc:aa:14:f1:a2:bc,,6.0,128,Windows,"22, 135, 139, 445, 3389",2026-04-09T17:33:32.988771
10.80.80.105,alive,,00:0c:29:02:19:a7,,1.0,64,Linux / macOS,"22, 80",2026-04-09T17:33:31.983741
